Description,Category,Target Skill
A teacher writing on a blackboard.,School,Observational language
A student raising their hand to ask a question.,School,Sentence formation
Children playing soccer during recess.,School,Action verbs
A rainy day with puddles on the ground.,Weather,Descriptive language
A person holding an umbrella in the rain.,Weather,Vocabulary & prepositions
A busy street with cars and pedestrians.,Daily Life,Scene description
A baker making bread in a bakery.,Work,Observational language
A firefighter rescuing a cat from a tree.,Work,Narrative skills
A farmer watering plants in a field.,Work,Action verbs
A boy flying a kite in a park.,Daily Life,Action verbs
A girl reading a book under a tree.,Daily Life,Reading comprehension
A group of friends eating lunch at school.,School,Vocabulary & interactions
A carpenter hammering nails into wood.,Work,Vocabulary & tools
A child painting a picture on an easel.,Art,Creative language
A person riding a bicycle on a sunny day.,Daily Life,Descriptive language
A family having a picnic in a park.,Daily Life,Sentence formation
A student reading aloud in a classroom.,School,Speech and actions
A gardener trimming bushes in a garden.,Work,Observational language
A man fishing by a river on a cloudy day.,Daily Life,Scene description
A woman cooking dinner in a kitchen.,Daily Life,Vocabulary & actions
A child feeding a flock of pigeons.,Animals,Observational language
A dog playing fetch with its owner.,Animals,Sentence construction
A boy helping his grandmother water plants.,Family,Helping others
A train passing through a tunnel in the hills.,Transport,Prepositions & details
A person crossing the road at a zebra crossing.,Daily Life,Scene description
A bus stopping at a crowded bus stop.,Transport,Vocabulary & scenes
A shopkeeper arranging vegetables at a market.,Work,Vocabulary & actions
A boy drawing a picture of his family.,Art,Descriptive language
A fisherman fixing his fishing net on the beach.,Work,Observational language
A person delivering letters on a bicycle.,Work,Vocabulary & actions
A bird building a nest in a tree.,Animals,Observational language
A girl skipping rope with her friends.,Daily Life,Action verbs
A cat sleeping on a windowsill.,Animals,Descriptive language
A postman walking on a street delivering mail.,Work,Descriptive language
A child playing with a puppy in a backyard.,Animals,Interaction & description
A man reading a newspaper on a park bench.,Daily Life,Scene description
A construction worker building a house.,Work,Observational language
A person waiting for a train at the station.,Transport,Prepositions & actions
A group of children playing on a seesaw.,Daily Life,Vocabulary & actions
