audio_path,transcript,phoneme_sequence
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family I want to make my family.wav,i love my family i want to make my family,aɪl ʌ vm aɪf æ m ɪ l iaɪw ɔ n tt əm eɪ km aɪf æ m ɪ l i
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/in the winter when it shows he always he slowly takes a short walk in the open air each.wav,in the winter when it shows he always he slowly takes a short walk in the open air each,ɪ n ð əw ɪ n t ɚw ɛ nɪ tʃ oʊ zh iːɔː l w eɪ zh iːs l oʊ l it eɪ k sɐʃ ɔːɹ tw ɔː kɪ n ð ɪoʊ p ə nɛ ɹiː tʃ
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/nature gives us fruits vegetable and grain to eat.wav,nature gives us fruits vegetable and grain to eat,n eɪ tʃ ɚɡ ɪ v zʌ sf ɹ uː t sv ɛ dʒ ɪ ɾ ə b əlæ n dɡ ɹ eɪ nt ʊiː t
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/nature gives us fruits vegetables and grains to eat (32).wav,nature gives us fruits vegetables and grains to eat,n eɪ tʃ ɚɡ ɪ v zʌ sf ɹ uː t sv ɛ dʒ ɪ ɾ ə b əl zæ n dɡ ɹ eɪ n zt ʊiː t
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family and the future I want to make my family Pro.wav,i love my family and the future i want to make my family pro,aɪl ʌ vm aɪf æ m ɪ l iæ n dð əf j uː tʃ ɚ ɹaɪw ɔ n tt əm eɪ km aɪf æ m ɪ l ip ɹ oʊ
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family and in the future I want to make my family (206).wav,i love my family and in the future i want to make my family,aɪl ʌ vm aɪf æ m ɪ l iæ n dɪ n ð əf j uː tʃ ɚ ɹaɪw ɔ n tt əm eɪ km aɪf æ m ɪ l i
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family and in the future I went to make my family proud (5).wav,i love my family and in the future i went to make my family proud,aɪl ʌ vm aɪf æ m ɪ l iæ n dɪ n ð əf j uː tʃ ɚ ɹaɪw ɛ n tt əm eɪ km aɪf æ m ɪ l ip ɹ aʊ d
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/nature gives us fruits vegetables and grains (3).wav,nature gives us fruits vegetables and grains,n eɪ tʃ ɚɡ ɪ v zʌ sf ɹ uː t sv ɛ dʒ ɪ ɾ ə b əl zæ n dɡ ɹ eɪ n z
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/mum and dad arrived at the bus station early but weighted until the bus game (3).wav,mum and dad arrived at the bus station early but weighted until the bus game,m ʌ mæ n dd æ dɚ ɹ aɪ v dæ tð əb ʌ ss t eɪ ʃ ə nɜː l ib ʌ tw eɪ ɾ ᵻ dʌ n t ɪ lð əb ʌ sɡ eɪ m
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/nature gives us fruits vegetables and grains to (28).wav,nature gives us fruits vegetables and grains to,n eɪ tʃ ɚɡ ɪ v zʌ sf ɹ uː t sv ɛ dʒ ɪ ɾ ə b əl zæ n dɡ ɹ eɪ n zt uː
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/dog get bone Michael likes bike Elsa wants a book Adam place basket.wav,dog get bone michael likes bike elsa wants a book adam place basket,d ɑː ɡɡ ɛ tb oʊ nm aɪ k əll aɪ k sb aɪ kɛ l s əw ɔ n t sɐb ʊ kæ d ə mp l eɪ sb æ s k ɪ t
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I don't have time to go with you I am playing cricket (32).wav,i dont have time to go with you i am playing cricket,aɪd oʊ n th æ vt aɪ mt əɡ oʊw ɪ ðj uːaɪæ mp l eɪ ɪ ŋk ɹ ɪ k ɪ t
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/in the winter when it snows he is slowly takes a short walk in the open age each.wav,in the winter when it snows he is slowly takes a short walk in the open age each,ɪ n ð əw ɪ n t ɚw ɛ nɪ ts n oʊ zh iːɪ zs l oʊ l it eɪ k sɐʃ ɔːɹ tw ɔː kɪ n ð ɪoʊ p ə neɪ dʒiː tʃ
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/and the boy is looking at it .wav,and the boy is looking at it,æ n dð əb ɔɪɪ zl ʊ k ɪ ŋæ ɾ ɪ t
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family and in future I want to make my family flower.wav,i love my family and in future i want to make my family flower,aɪl ʌ vm aɪf æ m ɪ l iæ n dɪ nf j uː tʃ ɚ ɹaɪw ɔ n tt əm eɪ km aɪf æ m ɪ l if l aʊ ɚ
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/nature gives us fruits vegetables and grains to (17).wav,nature gives us fruits vegetables and grains to,n eɪ tʃ ɚɡ ɪ v zʌ sf ɹ uː t sv ɛ dʒ ɪ ɾ ə b əl zæ n dɡ ɹ eɪ n zt uː
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family and in the future I want to make my family crow.wav,i love my family and in the future i want to make my family crow,aɪl ʌ vm aɪf æ m ɪ l iæ n dɪ n ð əf j uː tʃ ɚ ɹaɪw ɔ n tt əm eɪ km aɪf æ m ɪ l ik ɹ oʊ
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family and in the future I want to make my family (155).wav,i love my family and in the future i want to make my family,aɪl ʌ vm aɪf æ m ɪ l iæ n dɪ n ð əf j uː tʃ ɚ ɹaɪw ɔ n tt əm eɪ km aɪf æ m ɪ l i
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/in the winter when it snows he is slowly takes a short walk in in the open a rich day.wav,in the winter when it snows he is slowly takes a short walk in in the open a rich day,ɪ n ð əw ɪ n t ɚw ɛ nɪ ts n oʊ zh iːɪ zs l oʊ l it eɪ k sɐʃ ɔːɹ tw ɔː kɪ nɪ n ð ɪoʊ p ə nɐɹ ɪ tʃd eɪ
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family and in the future I want to make my family (86).wav,i love my family and in the future i want to make my family,aɪl ʌ vm aɪf æ m ɪ l iæ n dɪ n ð əf j uː tʃ ɚ ɹaɪw ɔ n tt əm eɪ km aɪf æ m ɪ l i
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/darkseid bones Mike Like Elsa wants a book Adam place basket.wav,darkseid bones mike like elsa wants a book adam place basket,d ɑːɹ k s eɪ db oʊ n zm aɪ kl aɪ kɛ l s əw ɔ n t sɐb ʊ kæ d ə mp l eɪ sb æ s k ɪ t
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/Bhakti balloon Like Mike Like bike play basketball.wav,bhakti balloon like mike like bike play basketball,b ʌ k t ib ə l uː nl aɪ km aɪ kl aɪ kb aɪ kp l eɪb æ s k ɪ t b ɔː l
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/nature gives us fruits vegetables and grains to (26).wav,nature gives us fruits vegetables and grains to,n eɪ tʃ ɚɡ ɪ v zʌ sf ɹ uː t sv ɛ dʒ ɪ ɾ ə b əl zæ n dɡ ɹ eɪ n zt uː
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/Mercedes is a steering as our mother it all it's always sweet like her.wav,mercedes is a steering as our mother it all its always sweet like her,m ɜː s eɪ d iː zɪ zɐs t ɪ ɹ ɪ ŋæ zaʊ ɚm ʌ ð ɚ ɹɪ ɾɔː lɪ t sɔː l w eɪ zs w iː tl aɪ kh ɜː
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/nature gives us fruits vegetables and grains to (60).wav,nature gives us fruits vegetables and grains to,n eɪ tʃ ɚɡ ɪ v zʌ sf ɹ uː t sv ɛ dʒ ɪ ɾ ə b əl zæ n dɡ ɹ eɪ n zt uː
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/and because he cracked his egg.wav,and because he cracked his egg,æ n db ɪ k ʌ zh iːk ɹ æ k th ɪ zɛ ɡ
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/nature gives us fruits vegetables and grains (39).wav,nature gives us fruits vegetables and grains,n eɪ tʃ ɚɡ ɪ v zʌ sf ɹ uː t sv ɛ dʒ ɪ ɾ ə b əl zæ n dɡ ɹ eɪ n z
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/I love my family and in and in the future I went to make my family Pro.wav,i love my family and in and in the future i went to make my family pro,aɪl ʌ vm aɪf æ m ɪ l iæ n dɪ næ n dɪ n ð əf j uː tʃ ɚ ɹaɪw ɛ n tt əm eɪ km aɪf æ m ɪ l ip ɹ oʊ
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v2/Raw_data/in the winter when it snows is slowly take a short walk in the open air each.wav,in the winter when it snows is slowly take a short walk in the open air each,ɪ n ð əw ɪ n t ɚw ɛ nɪ ts n oʊ zɪ zs l oʊ l it eɪ kɐʃ ɔːɹ tw ɔː kɪ n ð ɪoʊ p ə nɛ ɹiː tʃ
