audio_path,transcription,duration
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/Matrix gas caring as our mother it always sweet like.wav,Matrix gas caring as our mother it always sweet like,5.3870625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/method is asking as our mother is it always with.wav,method is asking as our mother is it always with,5.2941875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but better until the.wav,mum and dad arrived at the bus station early but better until the,6.3158125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (134).wav,I love my family and in the future I want to make my family,5.2941875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/method gives us fruits vegetables and.wav,method gives us fruits vegetables and,3.7151875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (47).wav,I love my family and in the future I want to make my family Pro,4.922625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (70).wav,I don't have time to go with you I am playing cricket,4.179625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains (37).wav,nature gives us fruits vegetables and grains,4.922625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (114).wav,I love my family and in the future I want to make my family,6.501625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/the owl came out of the tree .wav,the owl came out of the tree,2.3133125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/Dog eat bones Mike likes bikes Elsa wants a book Adams place basket.wav,Dog eat bones Mike likes bikes Elsa wants a book Adams place basket,5.9443125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/darkseid bones Mike likes bikes Elsa wants a book Adam place.wav,darkseid bones Mike likes bikes Elsa wants a book Adam place,5.2941875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/and then he shouted on the rocks .wav,and then he shouted on the rocks,3.4581875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/agent gives its fruits vegetables and grains to.wav,agent gives its fruits vegetables and grains to,4.45825
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (38).wav,I love my family and in the future I want to make my family Pro,5.20125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to (45).wav,nature gives us fruits vegetables and grains to,4.45825
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/Dog eat bones my likes bikes else wants a book Adam place basket.wav,Dog eat bones my likes bikes else wants a book Adam place basket,6.3158125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (20).wav,I love my family and in the future I want to make my family,7.7090625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time go with you I am playing cricket (1).wav,I don't have time go with you I am playing cricket,4.2725
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (27).wav,I love my family and in the future I want to make my family Pro,4.179625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/natural steering as our mother it always wait like.wav,natural steering as our mother it always wait like,4.179625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/and the dog and the boy wake up and the frog wasn't here .wav,and the dog and the boy wake up and the frog wasn't here,7.2723125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (118).wav,I love my family and in the future I want to make my family,3.9009375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (10).wav,I love my family and in the future I want to make my family Pro,7.430375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grace to eat.wav,nature gives us fruits vegetables and grace to eat,4.551125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/Axis Bank place.wav,Axis Bank place,4.179625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to (54).wav,nature gives us fruits vegetables and grains to,5.0155
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains (57).wav,nature gives us fruits vegetables and grains,4.2725
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to eat (3).wav,nature gives us fruits vegetables and grains to eat,4.365375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family.wav,I love my family and in the future I want to make my family,6.0371875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/dog food like bikes Elsa wants a book Adams place basket.wav,dog food like bikes Elsa wants a book Adams place basket,6.4086875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family in the future I want to make my family (2).wav,I love my family in the future I want to make my family,6.3158125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it snows he always takes a short walk in the open air each day.wav,in the winter when it snows he always takes a short walk in the open air each day,6.2229375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/the boy is mad.wav,the boy is mad,1.6398125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (132).wav,I love my family and in the future I want to make my family,5.4799375
